text,int_score
"Dramakællinger hele banden! Skulle jo saftsusemig bare finde min hukommelse, og nu er selvmordsraten i Danmark pludselig eksploderet. Så slap dog af, idioter. Jeg skrev “Tak for nu” ikke “Fuck jer for altid”, så drop nu jeres klynkeri og tag jer sammen. Kan for helvede ikke passe jer op i hoved og røv 365 dage om året.
Nåh men, hukommelsen er vendt tilbage. Havde tilsyneladende forlagt den i en bog og en rød sofa. Jeg har nemlig skrevet genialiteter, ingen nogensinde har set mage, og sammen med Forlaget Turbulenz og deres røde sofa I bring to you (vi bringer ikke ud!): Bogen! Eller En Bitterfisses Bekendelser, som den jo hedder. Fin titel, ikke sandt? Den slags kommer bare til Bethany. Helt ud af det blå. Så dér kan man bare se. Kraftedemig da ikke det værste, der kan komme ud af hukommelsestab og Fernetmisbrug.
Det har dog været vanvidsskabende at skrive en bog. Det kan jeg da ved den søde kløe fortælle jer! Ganske givet derfor, min hukommelse forsvandt. Den er selektiv på den måde – lukker ned, når jeg har rodet mig ud i noget, jeg helst skal svare “Det kan jeg ikke huske” til, når jeg uundgåeligt ender for en dommer. For det ender sgu nok dér, når klynkekusser som Paula Larrain, Anne Sophia Hermansen og Michael Jeppesen, mine latterlige fans, komikere, andre bloggere, politikere og desperate pseudokendisser får én på hatten – den slags er de nemlig ikke nede med, da det ikke er skiderart, når spejlet pludselig viser det, man helst vil undgå at se. Det vil i dette tilfælde sige: Sandheden. For den får I – råt for Fernetforsødet – til evig arv og eje til de mindrebemidlede generationer, I nødvendigvis må producere med den manglende hjernekapacitet, I render rundt med.
Hvorfor jeg skrev en bog? Spørger I. Krafthelvede, jeg magter ikke jeres urimeligt dumme spørgsmål. Var fandme da nødt til det. For det første var der ved at gå spejdermarkedsstemning i den ovre på Facebook, og for det andet var jeg ved at miste overblik. Godt nok skal man holde fjenden tæt, men i dette tilfælde så jeg mig nødsaget til at træde ti skridt tilbage, danne overblik, infiltrere og så give den gas med rygter, visdomsord og subjektive meninger. Ja, sandheden som sagt! Én gang for alle! Så hæmningsløst og tåkrummende, at selv den dummeste Blankobitch forhåbentlig fatter, at Bethany hverken er sjov eller nogens forpulede ven.
Bogen udkommer den 29. februar. Om TO dage, må jeg vel hellere tilføje, da I som regel har svært ved at forstå selv det mest simple. Som et godt råd vil jeg foreslå et supplement af nervemedicin og finsprit. I får brug for det!
Missed me, suckers? (Sutter I melmissen?)",0
"-
Nye indlæg
Kategorier
Kammertonen…
Læs min klumme i Appetize. Jeg er stolt over, at jeg i denne gang fik “leder” pladsen i Appetize magasinet. Tak til redaktionen.
DMGP vinder 2013 Emmelie de Forest og Bestseller-forfatteren Jussi Adler-Olsen besøger Cafe Hack
Glimt fra presse touren DMGP 2013 med Emmelie de Forest
BORN TO BE A STAR
Emmelie de Forest løb med pokalen til dette års danske Melodi Grand Prix. Siden da har hun været på promo tur, så alle landets blade, aviser, magasiner, radiostationer og TV kanaler har kunnet få deres eget solo interview. De har mødt en stjerne med hele paletten. Vidunderlig talentfuld ung kvinde på 19 år, fyldt med naturlig skønhed, født med et stort sangtalent, stamtræet iorden og kreativiteten på plads. Og ikke mindst et pragtfuldt væsen bag den billedsmukke facade. Jeg har nydt de sidste par dage fuldt ud i hendes selskab, og ser så meget frem til at følge Emmelie og hendes karriere fremover.
Her kan du se lidt glimt fra presse touren.
Velkommen til min gæsteblogger Marie Klint Martinsen, som blogger om nørdede nærlytninger af musikkens magiske univers.
Marie har nærlyttet til Stig Rossen´s nye album “The way you make me feel”. Gå ikke glip af hendes musiske analyse og univers.
24 gaveidéer til advent og pakkekalenderen - Til kvinden som kun ønsker sig sko eller støvler.",1
"Mange kommuner har svært ved at holde styr på økonomien på det specialiserede socialområde (børn og unge med særlige behov samt udsatte voksne og handicappede). Udfordringen består for det første i, at kommunens øvrige serviceområder sættes under pres. For det andet er det en udfordring at forudse og forklare de stigende udgifter. Er det prisen på tilbuddene? Er det antallet af tilbud der gives? Og hvordan er sammenhængen mellem den aktuelle visitationspraksis, og det serviceniveau politikerne ønsker?
KLK tilbyder:
KLK har lavet et nyt koncept, som giver kommunen en tilstandsrapport på kommunens styringsevne inden for det specialiserede socialområde. Du kan læse mere om tilstandsrapporten her: Udfordringerne på det specialiserede socialområde kan løses - Spørg KLK hvordan
Du kan læse om KLK's øvrige konsulentydelser på området via artiklen her eller via folderen med alle KLK's konsulentydelser på det specialiserede socialområde, som du finder her.",1
"Frihedsmuseets udstillinger er lukket efter den brand, som søndag den 28. april ødelagde en del af museets bygninger.
Genstande og arkiver blev reddet ud og er nu på Nationalmuseets Bevaringsafdeling i Brede. Ingen af de reddede genstande har lidt uoprettelig skade.
Der arbejdes pt. på at skaffe alternative muligheder for planlagte aktiviteter.",1
"22. okt. 2008 08:40Verdens første konsum-produkt med en flydende linse er på vej ud på verdensmarkedet og kan findes i et webkamera fra den kinesiske producent Shenzhen Akkord Electronics.
Webkameraet, der kommer i to udgaver, en på 1,3 megapixel og en på 2 megapixels, anvender en flydende linse fra den franske producent Varioptic. Med en flydende linse kan et kamera fokusere ved blot at ændre formen på linsen og kan derved spare plads ved at undvære den mekanik og ekstra linser, et autofokussystem ellers har brug for.
Den flydende linse består af to væsker, inderst er der vand, og uden om det er der olie. Det hele er placeret i en lille beholder tilsluttet et par elektroder. Ved at ændre spændingen på elektroderne kan formen på linsen ændres og dermed fokus.
Webkameraerne er prissat til henholdsvis 22 dollars og 24 dollars.
Det er gratis, og du binder dig ikke til noget.
Når du er oprettet som bruger, får du adgang til en lang række af sidens andre muligheder, såsom at udforme siden efter eget ønske og deltage i diskussionerne.",1
"I morgen er det Nullergøjens fødselsdag. 3 store år bliver hun, min lille bitte mus. Vi plejer at have sådan nogle træflag på snor hængende i vinduerne til fødselsdage, men i år har jeg lyst til noget andet, så jeg har syet en lille flagranke i nogle af de skønneste stoffer.",1
"Prins William i sorg – vennen død i motorcykelulykke
Nyheden om vennen James Hassels død har taget hårdt på den britiske prins.
Prins Williams ven og tidligere flyinstruktør, James Hassel, døde sidste måned i en tragisk motorcykelulykke.
29-årig prins William er naturligvis ramt af sorg, og ifølge hans talsmand har han taget nyheden med tungt hjerte, skriver avisen Daily Mail.
Williams tanker går til vennens familie, oplyser talsmanden, der i øvrigt forklarer, at prinsen ikke kunne deltage i begravelsen, da han stadig var udstationeret på Falklandsøerne ved Argentina.
James Hassel blev blot 36 år, og begravelsen fandt sted den 26. marts.
I BILLED-BLADET webshop finder du et stort udvalg af shapewear fra forskellige producenter. Vores nyeste leverandør er Trinny & Susannah by Cette - find de lækre produkter ved at klikke herunder…
Husk - alle køb over 500 kr. er fragtfri!
BILLED-BLADETs webshop - det er nemt, sikkert og lige til døren.",1
"DICE har i omkring et årti været den ukronede konge af online krigsførelse med sin Battlefield serie. For nogle år lavede DICE et spil udelukkende til konsol nemlig Battlefield Bad Company, som blev en bragende succes. Succesen er siden fortsat med blandt andet Battlefield Bad Company 2 og Battlefield: Vietnam på kryds og tværs af platformene. I sidste uge gav Bananen en ganske flot
anmeldelse af Battlefield 3 til PC, hvor spillet fik gode ord med på vejen til de tweakende og performance hungrende pc-spillere. Men er dette spil noget værd på de efterhånden aldrende konsoller hjemme i dagligstuerne? Læs blot videre.
Singleplayer? Få det overstået
Trods succesen med de foregående Bad Company spil, hvor humoren var i hovedsædet, så er der i denne omgang lagt op til en langt mere suspekt singleplayer oplevelelse med et fængende manuskript, god storyline, twists, persongallerier og konspirationer, så man kan blive underholdt foran fladskærmen.
Du følger hovedsageligt den Amerikanske marineinfanterist Blackburn, som tilsyneladende har forrådt sit eget land. Du befinder dig under en afhøring af to efterretningsagenter, hvor du som Blackburn genfortæller din historie, hvor du så gennemspiller den og andre personers indflydelse på missionerne. Historien er meget fængende i starten, men som tiden går, kommer klicheerne til at virke lidt udvandede. Der er også blevet hentet inspiration til moderne krigsskuepladser i tidligere titler som Call of Duty: Black Ops og lignende spil.
På trods af den ret korte singleplayer del, er selve missionerne rimeligt afvekslende, både når det kommer til den type af missioner, du skal spille, men også de forskellige locations du kommer igennem. Banerne er selvsagt enorme, og fjenderne er overalt. Døden kan komme fra en hvilken som helst side og smide dig tilbage til et checkpoint op til flere gange i streg. Dette er dog kun med til at forberede dig til multiplayer, som jeg er sikker på, at mange er spændte på at høre mere om. Så lad os dog bare se på alt det, som multiplayer indebærer i denne omgang af Battlefield og direkte til det væsentlige i dette spil.
Online Co-op
Før vi begiver os ud på de travle servere, skal vi dog lige vende co-op i Battlefield 3. Her kan du spille hele singleplayer delen med en ven og bekæmpe horder af fjender, hvis du synes, det er for kedeligt at spille singleplayer delen alene. For at få det maksimale ud af dette spil del, er det dog fedest at sætte sværhedsgraden på sit højeste. Man vil her lynhurtigt finde ud af, at samarbejde er nøglen til succes. Denne mulighed i spillet er meget god for nye Battlefield spillere, inden man går i kast med mulitplayer delen af Battlefield 3. Det er nemlig her, du vil få en på opleveren og lade Battlefield rulle sit fulde potentiale ud.",1
"Sommerens podcast-hit: Holger-bøgerne
Jeg kan kun anbefale at man hører Dan Larsens tobindsværk Holger og Viljen til magten, der ligger som gratis podcast her. De er gennemresearchede fiktioner om hvordan magtspillet i Danmark rent faktisk kunne udvikle sig, og det er meget mere underholdende end det lyder. Samtidig er der kant på, og det er fremragende samfundssatire. Det uddyber jeg i min anmeldelse i Politiken.",1
"Clipboard
Clipboard is the best way to save and share anything online. Whether it’s clipping news articles, social media updates, appointment information, or planning a summer vacation, or your big wedding, Clipboard allows you to select your desired part of the page, save, and share either privately, publicly or in select groups. Clipboard supports pinning the ""heart clip"" favicon, jump lists and taskbar notifications in IE9.
Træk ikonet for at fastgøre webstedet til proceslinjen
Har du problemer med at fastgøre et websted?
Følg blot disse to enkle trin:
-
Trin 1
Gå direkte til
https://clipboard.com
-
Trin 2
Drag browser tab to your taskbar.
Hvorfor skal jeg fastgøre dette websted?
Nyd disse fordele ved fastgjorte websteder, der alle blot er et enkelt klik væk.
Jumplister
Gå direkte til det afsnit af siden, som du ønsker, og få endda liveindhold via Windows 7-jumplisterne.
Beskeder
Få live-beskeder på proceslinjen når der sker noget, såsom modtagelse af en ny e-mail eller venneanmodning.",1
